W01_L01	Natural Language Content Analysis	01_lesson-1-1-natural-language-content-analysis
W01_L02	Text Access	02_lesson-1-2-text-access
W01_L03	Text Retrieval Problem	03_lesson-1-3-text-retrieval-problem
W01_L04	Overview Of Text Retrieval Methods	04_lesson-1-4-overview-of-text-retrieval-methods
W01_L05	Vector Space Model Basic Idea	05_lesson-1-5-vector-space-model-basic-idea
W01_L06	Vector Space Retrieval Model Simplest Instantiation	06_lesson-1-6-vector-space-retrieval-model-simplest-instantiation
W02_L01	Vector Space Model Improved Instantiation	01_lesson-2-1-vector-space-model-improved-instantiation
W02_L02	Tf Transformation	02_lesson-2-2-tf-transformation
W02_L03	Doc Length Normalization	03_lesson-2-3-doc-length-normalization
W02_L04	Implementation Of Tr Systems	04_lesson-2-4-implementation-of-tr-systems
W02_L05	System Implementation Inverted Index Construction	05_lesson-2-5-system-implementation-inverted-index-construction
W02_L06	System Implementation Fast Search	06_lesson-2-6-system-implementation-fast-search
W03_L01	Evaluation Of Tr Systems	01_lesson-3-1-evaluation-of-tr-systems
W03_L02	Evaluation Of Tr Systems Basic Measures	02_lesson-3-2-evaluation-of-tr-systems-basic-measures
W03_L03	Evaluation Of Tr Systems Evaluating Ranked Lists Part 1	03_lesson-3-3-evaluation-of-tr-systems-evaluating-ranked-lists-part-1
W03_L04	Evaluation Of Tr Systems Evaluating Ranked Lists Part 2	04_lesson-3-4-evaluation-of-tr-systems-evaluating-ranked-lists-part-2
W03_L05	Evaluation Of Tr Systems Multi Level Judgements	05_lesson-3-5-evaluation-of-tr-systems-multi-level-judgements
W03_L06	Evaluation Of Tr Systems Practical Issues	06_lesson-3-6-evaluation-of-tr-systems-practical-issues
W04_L01	Probabilistic Retrieval Model Basic Idea	01_lesson-4-1-probabilistic-retrieval-model-basic-idea
W04_L02	Statistical Language Model	02_lesson-4-2-statistical-language-model
W04_L03	Query Likelihood Retrieval Function	03_lesson-4-3-query-likelihood-retrieval-function
W04_L04	Statistical Language Model Part 1	04_lesson-4-4-statistical-language-model-part-1
W04_L05	Statistical Language Model Part 2	05_lesson-4-5-statistical-language-model-part-2
W04_L06	Smoothing Methods Part 1	06_lesson-4-6-smoothing-methods-part-1
W04_L07	Smoothing Methods Part 2	07_lesson-4-7-smoothing-methods-part-2
W05_L01	Feedback In Text Retrieval	01_lesson-5-1-feedback-in-text-retrieval
W05_L02	Feedback In Vector Space Model Rocchio	02_lesson-5-2-feedback-in-vector-space-model-rocchio
W05_L03	Feedback In Text Retrieval Feedback In Lm	03_lesson-5-3-feedback-in-text-retrieval-feedback-in-lm
W05_L04	Web Search Introduction Web Crawler	04_lesson-5-4-web-search-introduction-web-crawler
W05_L05	Web Indexing	05_lesson-5-5-web-indexing
W05_L06	Link Analysis Part 1	06_lesson-5-6-link-analysis-part-1
W05_L07	Link Analysis Part 2	07_lesson-5-7-link-analysis-part-2
W05_L08	Link Analysis Part 3	08_lesson-5-8-link-analysis-part-3-optional
W06_L01	Learning To Rank Part 1	01_lesson-6-1-learning-to-rank-part-1-optional
W06_L02	Learning To Rank Part 2	02_lesson-6-2-learning-to-rank-part-2-optional
W06_L03	Learning To Rank Part 3	03_lesson-6-3-learning-to-rank-part-3-optional
